Word,Furigana,Romaji,JLPT,Hinshi,Indonesia Meaning
分布,ぶんぷ,bunpu,JLPT N2,Noun,distribusi; alokasi
分類,ぶんるい,bunrui,JLPT N2,Noun,klasifikasi; kategorisasi
分量,ぶんりょう,bunryou,JLPT N2,Noun,jumlah; kuantitas
分数,ぶんすう,bunsuu,JLPT N2,Noun,pecahan
文体,ぶんたい,buntai,JLPT N2,Noun,gaya sastra
ブラシ,ブラシ,burashi,JLPT N2,Noun,sikat
ブラウス,ブラウス,burausu,JLPT N2,Noun,"blus  ブラウス: gai1, ichi1."
ブローチ,ブローチ,buro-chi,JLPT N2,Noun,bros
無沙汰,ぶさた,busata,JLPT N2,Noun,"Tidak menulis atau menghubungi untuk sementara waktu; mengabaikan untuk menulis (menelepon, mengunjungi, dll.)"
武士,ぶし,bushi,JLPT N2,Noun,prajurit; samurai
部首,ぶしゅ,bushu,JLPT N2,Noun,radikal (dari karakter kanji)
物騒,ぶっそう,bussou,JLPT N2,Na-adjective,berbahaya; tidak tenang
ぶつぶつ,ぶつぶつ,butsubutsu,JLPT N2,Noun,mendengus; menggerutu
茶色い,ちゃいろい,chairoi,JLPT N2,I-adjective,cokelat muda; kekuningan
着々,ちゃくちゃく,chakuchaku,JLPT N2,Adverb,terus-menerus
知人,ちじん,chijin,JLPT N2,Noun,teman; kenalan
近々,ちかぢか,chikajika,JLPT N2,Adverbial noun,segera; kedekatan
力強い,ちからづよい,chikarazuyoi,JLPT N2,I-adjective,kuat; perkasa
地下水,ちかすい,chikasui,JLPT N2,Noun,air tanah
地名,ちめい,chimei,JLPT N2,Noun,nama tempat
チップ,チップ,chippu,JLPT N2,Noun,uang tip
ちり紙,ちりがみ,chirigami,JLPT N2,Noun,kertas tisu; kertas toilet
地質,ちしつ,chishitsu,JLPT N2,Noun,fitur geologis
地帯,ちたい,chitai,JLPT N2,Noun,daerah; daerah
地点,ちてん,chiten,JLPT N2,Noun,lokasi; titik pada peta
チョーク,チョーク,cho-ku,JLPT N2,Noun,kapur
直角,ちょっかく,chokkaku,JLPT N2,Noun,sudut siku-siku; tegak lurus
直径,ちょっけい,chokkei,JLPT N2,Noun,diameter
直後,ちょくご,chokugo,JLPT N2,Adverbial noun,segera setelahnya
直流,ちょくりゅう,chokuryuu,JLPT N2,Noun,"arus searah; DC  ちょくりゅう: news2, nf40. kata: berita2, nf40."
直線,ちょくせん,chokusen,JLPT N2,Noun,garis lurus
直通,ちょくつう,chokutsuu,JLPT N2,Noun,jalur langsung; komunikasi langsung
長方形,ちょうほうけい,chouhoukei,JLPT N2,Noun,persegi panjang; lonjong
超過,ちょうか,chouka,JLPT N2,Noun,berlebih; ​​lebih dari
彫刻,ちょうこく,choukoku,JLPT N2,Noun,ukiran; pahatan
調味料,ちょうみりょう,choumiryou,JLPT N2,Noun,"penyedap rasa (misalnya garam, gula, kecap, cuka, dll.); bumbu"
長男,ちょうなん,chounan,JLPT N2,Noun,anak laki-laki tertua (mungkin satu-satunya anak laki-laki); anak laki-laki pertama
調整,ちょうせい,chousei,JLPT N2,Noun,penyesuaian; regulasi
調節,ちょうせつ,chousetsu,JLPT N2,Noun,regulasi; penyesuaian
長所,ちょうしょ,chousho,JLPT N2,Noun,keunggulan; kelebihan
長短,ちょうたん,choutan,JLPT N2,Noun,panjang
頂点,ちょうてん,chouten,JLPT N2,Noun,puncak; titik tertinggi
貯蔵,ちょぞう,chozou,JLPT N2,Noun,penyimpanan; pengawetan
中旬,ちゅうじゅん,chuujun,JLPT N2,Adverbial noun,pertengahan bulan; sepertiga kedua bulan
中間,ちゅうかん,chuukan,JLPT N2,Adverbial noun,tengah; pertengahan
中年,ちゅうねん,chuunen,JLPT N2,Noun,usia paruh baya; usia pertengahan
中世,ちゅうせい,chuusei,JLPT N2,Adverbial noun,Abad Pertengahan (khususnya di Jepang periode Kamakura dan Muromachi); zaman pertengahan
中性,ちゅうせい,chuusei,JLPT N2,Noun,"netralitas (termasuk kimia, listrik, dll.); ketidakpedulian"
抽象,ちゅうしょう,chuushou,JLPT N2,Na-adjective,abstrak
中途,ちゅうと,chuuto,JLPT N2,Noun,di tengah; setengah jalan
ダブル,ダブル,daburu,JLPT N2,Noun,dobel
楕円,だえん,daen,JLPT N2,Noun,elips
ダイアグラム,ダイアグラム,daiaguramu,JLPT N2,Noun,diagram
大学院,だいがくいん,daigakuin,JLPT N2,Noun,sekolah pascasarjana
大工,だいく,daiku,JLPT N2,Noun,tukang kayu
代名詞,だいめいし,daimeishi,JLPT N2,Noun,kata ganti
大小,だいしょう,daishou,JLPT N2,Noun,ukuran (beragam); besar dan kecil
ダイヤモンド,ダイヤモンド,daiyamondo,JLPT N2,Noun,berlian
ダイヤル,ダイヤル,daiyaru,JLPT N2,Noun,tombol putar
ダム,ダム,damu,JLPT N2,Noun,bendungan
団地,だんち,danchi,JLPT N2,Noun,apartemen multi-unit; kompleks apartemen
段階,だんかい,dankai,JLPT N2,Noun,tingkatan; level
断水,だんすい,dansui,JLPT N2,Noun,pemadaman air
断定,だんてい,dantei,JLPT N2,Noun,kesimpulan; keputusan
だらし無い,だらしない,darashinai,JLPT N2,I-adjective,ceroboh; sembrono
脱線,だっせん,dassen,JLPT N2,Noun,penggelinciran
妥当,だとう,datou,JLPT N2,Na-adjective,sah; tepat
出合い,であい,deai,JLPT N2,Noun,bertemu
出入り,でいり,deiri,JLPT N2,Noun,masuk dan keluar; datang dan pergi
出入り口,でいりぐち,deiriguchi,JLPT N2,Noun,pintu keluar dan masuk
出来上がり,できあがり,dekiagari,JLPT N2,Noun,selesai; penyelesaian
凸凹,でこぼこ,dekoboko,JLPT N2,Noun,ketidakrataan; kekasaran
出迎え,でむかえ,demukae,JLPT N2,Noun,pertemuan; resepsi
電池,でんち,denchi,JLPT N2,Noun,baterai; sel
電柱,でんちゅう,denchuu,JLPT N2,Noun,tiang utilitas; tiang listrik
伝記,でんき,denki,JLPT N2,Noun,biografi; kisah hidup
電球,でんきゅう,denkyuu,JLPT N2,Noun,bola lampu
電波,でんぱ,denpa,JLPT N2,Noun,gelombang elektromagnetik; gelombang radio
電力,でんりょく,denryoku,JLPT N2,Noun,tenaga listrik
電流,でんりゅう,denryuu,JLPT N2,Noun,arus listrik
伝染,でんせん,densen,JLPT N2,Noun,penularan; infeksi
出鱈目,でたらめ,detarame,JLPT N2,Na-adjective,ucapan yang tidak bertanggung jawab; omong kosong
ドキドキ,ドキドキ,dokidoki,JLPT N2,Adverb,berdebar-debar; bang-bang
丼,どんぶり,donburi,JLPT N2,Noun,mangkuk porselen
どっと,どっと,dotto,JLPT N2,Adverb,tertawa terbahak-bahak; bertepuk tangan meriah
銅,どう,dou,JLPT N2,Noun,tembaga (Cu)
同格,どうかく,doukaku,JLPT N2,Noun,peringkat yang sama; kesetaraan
動作,どうさ,dousa,JLPT N2,Noun,tindakan; gerakan
どうせ,どうせ,douse,JLPT N2,Adverb,bagaimanapun juga; dalam hal apa pun
童話,どうわ,douwa,JLPT N2,Noun,dongeng
どうぞ宜しく,どうぞよろしく,douzoyoroshiku,JLPT N2,Expression,Senang bertemu dengan Anda; apa kabar?
エチケット,エチケット,echiketto,JLPT N2,Noun,etiket
英文,えいぶん,eibun,JLPT N2,Noun,kalimat dalam bahasa Inggris; artikel dalam bahasa Inggris
英和,えいわ,eiwa,JLPT N2,Noun,"Inggris-Jepang (misalnya kamus)  えいわ: ichi1, news1, nf19. arti: ichi1, berita1, nf19."
液体,えきたい,ekitai,JLPT N2,Noun,cairan; fluida
園芸,えんげい,engei,JLPT N2,Noun,hortikultura; berkebun
演劇,えんげき,engeki,JLPT N2,Noun,drama; teater
宴会,えんかい,enkai,JLPT N2,Noun,pesta; perjamuan
絵の具,えのぐ,enogu,JLPT N2,Noun,cat; bahan pewarna
円周,えんしゅう,enshuu,JLPT N2,Noun,lingkar
遠足,えんそく,ensoku,JLPT N2,Noun,tamasya; tamasya
煙突,えんとつ,entotsu,JLPT N2,Noun,cerobong asap; saluran asap (kapal)
エプロン,エプロン,epuron,JLPT N2,Noun,celemek  エプロン: gai1.
偉い,えらい,erai,JLPT N2,I-adjective,hebat; luar biasa
えっと,えっと,etto,JLPT N2,Expression,Coba saya lihat; baiklah
父母,ふぼ,fubo,JLPT N2,Noun,ayah dan ibu; orang tua
吹雪,ふぶき,fubuki,JLPT N2,Noun,badai salju; badai salju
符号,ふごう,fugou,JLPT N2,Noun,tanda; lambang
不潔,ふけつ,fuketsu,JLPT N2,Na-adjective,najis; kotor
付近,ふきん,fukin,JLPT N2,Noun,lingkungan sekitar; kawasan sekitar
不規則,ふきそく,fukisoku,JLPT N2,Na-adjective,ketidakaturan; ketidakstabilan
複写,ふくしゃ,fukusha,JLPT N2,Noun,salin; gandakan
副詞,ふくし,fukushi,JLPT N2,Noun,kata keterangan
複数,ふくすう,fukusuu,JLPT N2,Noun,beberapa; jamak
踏切,ふみきり,fumikiri,JLPT N2,Noun,perlintasan kereta api; penyeberangan rel kereta api
麓,ふもと,fumoto,JLPT N2,Noun,kaki (gunung atau bukit); dasar
船便,ふなびん,funabin,JLPT N2,Noun,surat darat (kapal); surat laut
噴火,ふんか,funka,JLPT N2,Noun,letusan
噴水,ふんすい,funsui,JLPT N2,Noun,air mancur
フライパン,フライパン,furaipan,JLPT N2,Noun,wajan penggorengan; wajan
フリー,フリー,furi-,JLPT N2,Na-adjective,"bebas (dari pengekangan, kontrol, dll.)"
振り仮名,ふりがな,furigana,JLPT N2,Noun,furigana; kana di atas atau di samping kanji untuk menunjukkan pengucapan
風呂敷,ふろしき,furoshiki,JLPT N2,Noun,kain pembungkus; kain pembungkus
夫妻,ふさい,fusai,JLPT N2,Noun,suami dan istri; pasangan suami istri
襖,ふすま,fusuma,JLPT N2,Noun,"fusuma; Layar geser Jepang  ふすま: ichi1, news2, nf37. artinya: ichi1, berita2, nf37."
蓋,ふた,futa,JLPT N2,Noun,penutup; tutup
不通,ふつう,futsuu,JLPT N2,Noun,penangguhan; gangguan
不運,ふうん,fuun,JLPT N2,Na-adjective,kemalangan; nasib buruk
風船,ふうせん,fuusen,JLPT N2,Noun,"balon (terutama balon kecil, jenis mainan)"
フワフワ,フワフワ,fuwafuwa,JLPT N2,Adverb,"ringan (mengapung, hanyut, dll.); mengapung"
付属,ふぞく,fuzoku,JLPT N2,Noun,terlampir; milik (dari)
ファスナー,ファスナー,fuァsuna-,JLPT N2,Noun,"pengikat; ritsleting  ファスナー: gai1, ichi1."
概論,がいろん,gairon,JLPT N2,Noun,Pendahuluan; garis besar
学科,がっか,gakka,JLPT N2,Noun,mata pelajaran; program studi
楽器,がっき,gakki,JLPT N2,Noun,alat musik
学級,がっきゅう,gakkyuu,JLPT N2,Noun,kelas (sekolah)
学部,がくぶ,gakubu,JLPT N2,Noun,departemen universitas
学術,がくじゅつ,gakujutsu,JLPT N2,Noun,sains; pembelajaran
学年,がくねん,gakunen,JLPT N2,Noun,tahun akademik; tahun sekolah
学力,がくりょく,gakuryoku,JLPT N2,Noun,kemampuan akademis; beasiswa
ガム,ガム,gamu,JLPT N2,Noun,permen karet
下品,げひん,gehin,JLPT N2,Na-adjective,vulgar; tidak senonoh
芸能,げいのう,geinou,JLPT N2,Noun,hiburan publik; seni pertunjukan
下旬,げじゅん,gejun,JLPT N2,Adverbial noun,Sepertiga terakhir bulan; tanggal 21 sampai hari terakhir bulan
外科,げか,geka,JLPT N2,Noun,operasi
激増,げきぞう,gekizou,JLPT N2,Noun,peningkatan tiba-tiba
月給,げっきゅう,gekkyuu,JLPT N2,Noun,gaji bulanan
限度,げんど,gendo,JLPT N2,Noun,batas; batasan
厳重,げんじゅう,genjuu,JLPT N2,Na-adjective,ketat; ketelitian
原稿,げんこう,genkou,JLPT N2,Noun,manuskrip; salinan
現に,げんに,genni,JLPT N2,Adverb,sebenarnya; sungguh
原理,げんり,genri,JLPT N2,Noun,prinsip; teori
原料,げんりょう,genryou,JLPT N2,Noun,bahan baku
原産,げんさん,gensan,JLPT N2,Noun,tempat asal; habitat
原始,げんし,genshi,JLPT N2,Noun,asal; purba
下車,げしゃ,gesha,JLPT N2,Noun,"turun (dari kereta, bus, dll.); pergi"
下水,げすい,gesui,JLPT N2,Noun,saluran pembuangan; parit
下駄,げた,geta,JLPT N2,Noun,geta; bakiak kayu Jepang
月末,げつまつ,getsumatsu,JLPT N2,Adverbial noun,akhir bulan
儀式,ぎしき,gishiki,JLPT N2,Noun,upacara; tata cara
ぎっしり,ぎっしり,gisshiri,JLPT N2,Adverb,rapat; padat
碁,ご,go,JLPT N2,Noun,Go (permainan papan untuk merebut wilayah)
ご無沙汰,ごぶさた,gobusata,JLPT N2,Noun,"Tidak menulis atau menghubungi untuk sementara waktu; mengabaikan (gagal) untuk menulis (menelepon, mengunjungi, dll.)"
ご馳走さま,ごちそうさま,gochisousama,JLPT N2,Expression,kata yang digunakan setelah seseorang dirawat (terutama setelah makan)
五十音,ごじゅうおん,gojuuon,JLPT N2,Noun,aksara suku kata Jepang
ご苦労さま,ごくろうさま,gokurousama,JLPT N2,Expression,Terima kasih banyak atas ...; Saya menghargai upaya Anda.
御免,ごめん,gomen,JLPT N2,Noun,maaf; menolak (sesuatu)
ご免ください,ごめんください,gomenkudasai,JLPT N2,Expression,Bolehkah saya masuk?
護謨,ゴム,gomu,JLPT N2,Noun,getah; karet
娯楽,ごらく,goraku,JLPT N2,Noun,kesenangan; hiburan
御覧,ごらん,goran,JLPT N2,Expression,(silakan) coba
合同,ごうどう,goudou,JLPT N2,Noun,kombinasi; persatuan
強引,ごういん,gouin,JLPT N2,Na-adjective,otoriter; memaksa
合理,ごうり,gouri,JLPT N2,Noun,rasionalitas
合流,ごうりゅう,gouryuu,JLPT N2,Noun,pertemuan (sungai); penggabungan (lalu lintas)
郡,ぐん,gun,JLPT N2,Noun,distrik; kabupaten
偶数,ぐうすう,guusuu,JLPT N2,Noun,angka genap
ギャング,ギャング,gyangu,JLPT N2,Noun,gang
漁業,ぎょぎょう,gyogyou,JLPT N2,Noun,industri perikanan
行事,ぎょうじ,gyouji,JLPT N2,Noun,acara; fungsi
行列,ぎょうれつ,gyouretsu,JLPT N2,Noun,barisan; antrean
鉢,はち,hachi,JLPT N2,Noun,mangkuk; panci
肌着,はだぎ,hadagi,JLPT N2,Noun,pakaian dalam; pakaian dalam
派手,はで,hade,JLPT N2,Na-adjective,mencolok; berisik
歯車,はぐるま,haguruma,JLPT N2,Noun,roda gigi; roda bergerigi
破片,はへん,hahen,JLPT N2,Noun,pecahan; serpihan
灰色,はいいろ,haiiro,JLPT N2,Noun,abu-abu; kelabu
俳句,はいく,haiku,JLPT N2,Noun,"haiku; Puisi 17 mora, usu. dalam 3 baris 5, 7 dan 5 morae"
初めまして,はじめまして,hajimemashite,JLPT N2,Expression,Apa kabar?; Senang bertemu denganmu.
初めに,はじめに,hajimeni,JLPT N2,Expression,pertama; pertama-tama
秤,はかり,hakari,JLPT N2,Noun,timbangan; mesin timbang
はきはき,はきはき,hakihaki,JLPT N2,Adverb,dengan cepat; dengan cerdas
吐き気,はきけ,hakike,JLPT N2,Noun,mual; ​​sakit perut
発揮,はっき,hakki,JLPT N2,Noun,pameran; demonstrasi
歯磨き,はみがき,hamigaki,JLPT N2,Noun,menyikat gigi; menggosok gigi
花火,はなび,hanabi,JLPT N2,Noun,kembang api
甚だしい,はなはだしい,hanahadashii,JLPT N2,I-adjective,ekstrem; berlebihan
話し合い,はなしあい,hanashiai,JLPT N2,Noun,diskusi; konferensi
話し中,はなしちゅう,hanashichuu,JLPT N2,No-adjective,sibuk (telepon)
花嫁,はなよめ,hanayome,JLPT N2,Noun,pengantin perempuan
ハンドル,ハンドル,handoru,JLPT N2,Noun,menangani
反映,はんえい,hanei,JLPT N2,Noun,"refleksi (cahaya, gambar, situasi, sikap, dll.); mencerminkan"
判事,はんじ,hanji,JLPT N2,Noun,hakim; peradilan
半径,はんけい,hankei,JLPT N2,Noun,radius
判子,はんこ,hanko,JLPT N2,Noun,stempel (digunakan untuk tanda tangan)
反省,はんせい,hansei,JLPT N2,Noun,refleksi; pertimbangan ulang
半島,はんとう,hantou,JLPT N2,Noun,semenanjung
針金,はりがね,harigane,JLPT N2,Noun,kabel
梯子,はしご,hashigo,JLPT N2,Noun,tangga
発射,はっしゃ,hassha,JLPT N2,Noun,penembakan; tembakan
発想,はっそう,hassou,JLPT N2,Noun,ide; konsepsi
斜,はす,hasu,JLPT N2,No-adjective,diagonal
果たして,はたして,hatashite,JLPT N2,Adverb,seperti yang diharapkan; persis seperti yang dipikirkan
発売,はつばい,hatsubai,JLPT N2,Noun,penjualan; penawaran untuk dijual
発電,はつでん,hatsuden,JLPT N2,Noun,generasi (misalnya kekuasaan)
早口,はやくち,hayakuchi,JLPT N2,Noun,berbicara cepat; bicara cepat
平日,へいじつ,heijitsu,JLPT N2,Adverbial noun,hari kerja; hari biasa (yaitu bukan hari libur)
平気,へいき,heiki,JLPT N2,Na-adjective,ketenangan; kedamaian
並行,へいこう,heikou,JLPT N2,Noun,(berjalan) berdampingan; sejajar
兵隊,へいたい,heitai,JLPT N2,Noun,tentara; pelaut
平野,へいや,heiya,JLPT N2,Noun,dataran; lapangan terbuka
編集,へんしゅう,henshuu,JLPT N2,Noun,penyuntingan; kompilasi
ヘリコプター,ヘリコプター,herikoputa-,JLPT N2,Noun,helikopter
臍,へそ,heso,JLPT N2,Noun,pusar; lubang perut
日当たり,ひあたり,hiatari,JLPT N2,Noun,terpapar sinar matahari; tempat yang cerah
響き,ひびき,hibiki,JLPT N2,Noun,gema; gaung
皮膚,ひふ,hifu,JLPT N2,Noun,kulit
肘,ひじ,hiji,JLPT N2,Noun,siku
日陰,ひかげ,hikage,JLPT N2,Noun,naungan; bayangan
比較的,ひかくてき,hikakuteki,JLPT N2,Na-adjective,perbandingan; relatif
引き分け,ひきわけ,hikiwake,JLPT N2,Noun,hasil imbang (dalam kompetisi); pertandingan seri
引き算,ひきざん,hikizan,JLPT N2,Noun,pengurangan
筆記,ひっき,hikki,JLPT N2,Noun,(mencatat); menyalin
引っ越し,ひっこし,hikkoshi,JLPT N2,Noun,"pindah (tempat tinggal, kantor, dll.); berganti tempat tinggal"
卑怯,ひきょう,hikyou,JLPT N2,Na-adjective,pengecutan; kekejaman
日日,ひにち,hinichi,JLPT N2,Noun,jumlah hari; tanggal
皮肉,ひにく,hiniku,JLPT N2,Na-adjective,sinisme; sarkasme
日の出,ひので,hinode,JLPT N2,Noun,matahari terbit
日の入り,ひのいり,hinoiri,JLPT N2,Noun,matahari terbenam
平仮名,ひらがな,hiragana,JLPT N2,Noun,"Hiragana; aksara suku kata Jepang kursif yang digunakan terutama untuk kata-kata asli Jepang (khususnya kata fungsi, infleksi, dll.)"
広場,ひろば,hiroba,JLPT N2,Noun,plaza; alun-alun (publik)
広さ,ひろさ,hirosa,JLPT N2,Noun,cakupan
昼寝,ひるね,hirune,JLPT N2,Noun,tidur siang (sore); siesta
人通り,ひとどおり,hitodoori,JLPT N2,Noun,"lalu lintas pejalan kaki  ひとどおり: ichi1, news2, nf25. Contoh: ichi1, berita2, nf25."
瞳,ひとみ,hitomi,JLPT N2,Noun,pupil (mata)
独りでに,ひとりでに,hitorideni,JLPT N2,Adverb,dengan sendirinya; secara otomatis
独り言,ひとりごと,hitorigoto,JLPT N2,Noun,monolog; berbicara pada diri sendiri
人差し指,ひとさしゆび,hitosashiyubi,JLPT N2,Noun,jari telunjuk; jari tengah
一通り,ひととおり,hitotoori,JLPT N2,Noun,(secara) umum; luas (misalnya pengetahuan)
一休み,ひとやすみ,hitoyasumi,JLPT N2,Noun,(istirahat) singkat; jeda
必需品,ひつじゅひん,hitsujuhin,JLPT N2,Noun,kebutuhan pokok; barang yang diperlukan
朗らか,ほがらか,hogaraka,JLPT N2,Na-adjective,cerah; riang
保健,ほけん,hoken,JLPT N2,Noun,pelestarian kesehatan; kebersihan
北極,ほっきょく,hokkyoku,JLPT N2,Noun,Kutub Utara
本来,ほんらい,honrai,JLPT N2,Adverbial noun,awalnya; terutama
包丁,ほうちょう,houchou,JLPT N2,Noun,pisau dapur; pisau ukir
方角,ほうがく,hougaku,JLPT N2,Noun,arah; jalan
方言,ほうげん,hougen,JLPT N2,Noun,dialek
箒,ほうき,houki,JLPT N2,Noun,sapu
方面,ほうめん,houmen,JLPT N2,Noun,arah; distrik
方針,ほうしん,houshin,JLPT N2,Noun,tujuan; rencana
法則,ほうそく,housoku,JLPT N2,Noun,hukum; aturan
包装,ほうそう,housou,JLPT N2,Noun,pengemasan; pembungkusan
包帯,ほうたい,houtai,JLPT N2,Noun,perban; balutan
方程式,ほうていしき,houteishiki,JLPT N2,Noun,persamaan; rumus
百科事典,ひゃっかじてん,hyakkajiten,JLPT N2,Noun,ensiklopedia; ensiklopedia
標準,ひょうじゅん,hyoujun,JLPT N2,Noun,standar; tingkat
表紙,ひょうし,hyoushi,JLPT N2,Noun,sampul depan; penjilidan
標識,ひょうしき,hyoushiki,JLPT N2,Noun,tanda; lambang
一段,いちだん,ichidan,JLPT N2,Adverb,lebih banyak; jauh lebih banyak
一々,いちいち,ichiichi,JLPT N2,Adverb,satu per satu; secara terpisah
一応,いちおう,ichiou,JLPT N2,Adverb,kurang lebih; ​​meskipun tidak sepenuhnya memuaskan
一流,いちりゅう,ichiryuu,JLPT N2,No-adjective,kelas satu; nilai tertinggi
井戸,いど,ido,JLPT N2,Noun,sumur air
緯度,いど,ido,JLPT N2,Noun,garis lintang (nav.)
以後,いご,igo,JLPT N2,Adverbial noun,setelah ini; mulai sekarang
意地悪,いじわる,ijiwaru,JLPT N2,Noun,jahat; pemarah
生け花,いけばな,ikebana,JLPT N2,Noun,rangkaian bunga
生き生き,いきいき,ikiiki,JLPT N2,Adverb,dengan jelas; hidup
行き成り,いきなり,ikinari,JLPT N2,Adverb,tiba-tiba; mendadak
イコール,イコール,iko-ru,JLPT N2,Na-adjective,setara
以降,いこう,ikou,JLPT N2,Adverbial noun,pada dan setelahnya; mulai dari
幾分,いくぶん,ikubun,JLPT N2,Adverb,agak; sampai batas tertentu
育児,いくじ,ikuji,JLPT N2,Noun,perawatan anak; keperawatan
引力,いんりょく,inryoku,JLPT N2,Noun,"daya tarik (misalnya, magnet, gravitasi); afinitas"
インタビュー,インタビュー,intabyu-,JLPT N2,Noun,"wawancara (misalnya, televisi, surat kabar, dll.)"
入れ物,いれもの,iremono,JLPT N2,Noun,wadah; kotak
衣食住,いしょくじゅう,ishokujuu,JLPT N2,Noun,"kebutuhan hidup (makanan, pakaian & tempat tinggal)"
一昨昨日,いっさくさくじつ,issakusakujitsu,JLPT N2,Adverbial noun,dua hari sebelum kemarin; tiga hari yang lalu
一斉,いっせい,issei,JLPT N2,Adverbial noun,"serentak; sekaligus  いっせい: news1, nf04. Contoh: berita1, nf04."
