Kanji,JLPT,Kunyomi,Onyomi,Indonesian,Contoh 1,Contoh 2
行,JLPT N5,"い.く, ゆ.く, -ゆ.き, -ゆき, -い.き, -いき, おこな.う, おこ.なう","コウ, ギョウ, アン",Pergi; Perjalanan,行事 (gyouji) - acara; fungsi,実行 (jikkou) - praktik; berlatih
見,JLPT N5,"み.る, み.える, み.せる",ケン,Lihat; Harapan,見学 (kengaku) - Inspeksi; studi melalui observasi,見物 (kenbutsu) - jalan-jalan; menonton
月,JLPT N5,つき,"ゲツ, ガツ",Bulan; Bulan,月 (tsuki) - bulan,月給 (gekkyuu) - gaji bulanan
後,JLPT N5,"のち, うし.ろ, うしろ, あと, おく.れる","ゴ, コウ",Di belakang; Belakang,後 (ato) - di belakang; bagian belakang,直後 (chokugo) - segera setelahnya
前,JLPT N5,"まえ, -まえ",ゼン,Di depan; Sebelumnya,前 (mae) - lalu; sebelum (suatu peristiwa),手前 (temae) - sebelumnya; sisi ini
生,JLPT N5,"い.きる, い.かす, い.ける, う.まれる, うま.れる, う.まれ, うまれ, う.む, お.う, は.える, は.やす, き, なま, なま-, な.る, な.す, む.す, -う","セイ, ショウ",Kehidupan; Asli,生 (nama) - mentah; belum dimasak,生物 (seibutsu) - makhluk hidup; makhluk
五,JLPT N5,"いつ, いつ.つ",ゴ,Lima,五 (go) - lima,五日 (itsuka) - hari kelima bulan itu
間,JLPT N5,"あいだ, ま, あい","カン, ケン",Interval; Ruang,間 (aida) - ruang (antara); celah,中間 (chuukan) - tengah; pertengahan
上,JLPT N5,"うえ, -うえ, うわ-, かみ, あ.げる, -あ.げる, あ.がる, -あ.がる, あ.がり, -あ.がり, のぼ.る, のぼ.り, のぼ.せる, のぼ.す, たてまつ.る","ジョウ, ショウ, シャン",Di atas; Naik,上 (ue) - di atas; ke atas,上等 (joutou) - keunggulan; kelas satu
東,JLPT N5,ひがし,トウ,Timur,東 (higashi) - timur,関東 (kantou) - Kanto; wilayah yang terdiri dari Tokyo dan prefektur-prefektur sekitarnya.
四,JLPT N5,"よ, よ.つ, よっ.つ, よん",シ,Empat,四 (shi) - empat,四角 (shikaku) - persegi
今,JLPT N5,いま,"コン, キン",Sekarang,今 (ima) - sekarang; saat ini,今に (imani) - tidak lama lagi; bahkan sekarang
金,JLPT N5,"かね, かな-, -がね","キン, コン, ゴン",Emas,金 (kane) - uang,針金 (harigane) - kabel
九,JLPT N5,"ここの, ここの.つ","キュウ, ク",Sembilan,九 (kyuu) - sembilan,九日 (kokonoka) - hari kesembilan bulan itu
入,JLPT N5,"い.る, -い.る, -い.り, い.れる, -い.れ, はい.る","ニュウ, ジュ",Masukkan; Sisipkan,入口 (iriguchi) - pintu masuk; jalan masuk,入る (hairu) - untuk masuk; untuk pergi ke dalam
学,JLPT N5,まな.ぶ,ガク,Belajar; Studi,学 (gaku) - -ologi; -ika,語学 (gogaku) - studi bahasa
高,JLPT N5,"たか.い, たか, -だか, たか.まる, たか.める",コウ,Tinggi; Melambung,高度 (koudo) - ketinggian; tinggi,高級 (koukyuu) - kelas atas; kualitas tinggi
円,JLPT N5,"まる.い, まる, まど, まど.か, まろ.やか",エン,Lingkaran; Yen,円 (en) - yen; satuan mata uang Jepang,楕円 (daen) - elips
子,JLPT N5,"こ, -こ, ね","シ, ス, ツ",Anak; Lambang tikus,子 (ko) - anak,判子 (hanko) - stempel (digunakan untuk tanda tangan)
外,JLPT N5,"そと, ほか, はず.す, はず.れる, と-","ガイ, ゲ",Di luar,外 (soto) - luar; eksterior,案外 (angai) - mendadak
八,JLPT N5,"や, や.つ, やっ.つ, よう",ハチ,Delapan,八 (hachi) - delapan,八つ (yattsu) - delapan
六,JLPT N5,"む, む.つ, むっ.つ, むい","ロク, リク",Enam,六 (roku) - enam,六日 (muika) - hari keenam bulan
下,JLPT N5,"した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる","カ, ゲ",Di bawah; Turun,下 (shita) - di bawah; ke bawah,靴下 (kutsushita) - kaus kaki; stoking
来,JLPT N5,"く.る, きた.る, きた.す, き.たす, き.たる, き, こ","ライ, タイ",Datang; Jatuh Tempo,"来 (rai) - tahun depan, dll.",来年 (rainen) - tahun depan
気,JLPT N5,いき,"キ, ケ",Roh; Pikiran,気 (ki) - jiwa; pikiran,気候 (kikou) - iklim
小,JLPT N5,"ちい.さい, こ-, お-, さ-",ショウ,Kecil; Mungil,小 (shou) - ukuran kecil; barang kecil,大小 (daishou) - ukuran (beragam); besar dan kecil
七,JLPT N5,"なな, なな.つ, なの",シチ,Tujuh,七 (shichi) - tujuh,七つ (nanatsu) - tujuh
山,JLPT N5,やま,"サン, セン",Gunung,山 (yama) - gunung; bukit,火山 (kazan) - gunung berapi
話,JLPT N5,"はな.す, はなし",ワ,Kisah; Pembicaraan,話 (hanashi) - bicara; pidato,童話 (douwa) - dongeng
女,JLPT N5,"おんな, め","ジョ, ニョ, ニョウ",Wanita; Perempuan,女 (onna) - perempuan; wanita,女房 (nyoubou) - istri (terutama istri sendiri)
北,JLPT N5,きた,ホク,Utara,北 (kita) - utara,北極 (hokkyoku) - Kutub Utara
午,JLPT N5,うま,ゴ,Siang hari; Lambang kuda,正午 (shougo) - tengah hari; tengah hari,午後 (gogo) - sore; malam
百,JLPT N5,もも,"ヒャク, ビャク",Ratus,百 (hyaku) - 100; seratus,八百屋 (yaoya) - penjual sayur
書,JLPT N5,"か.く, -が.き, -がき",ショ,Menulis,書留 (kakitome) - pos tercatat,辞書 (jisho) - kamus; leksikon
先,JLPT N5,"さき, ま.ず",セン,Sebelum; Selanjutnya,先 (saki) - sebelumnya; dahulu,先頭 (sentou) - kepala; pemimpin
名,JLPT N5,"な, -な","メイ, ミョウ",Nama; Terkenal,名 (na) - nama; nama depan,宛名 (atena) - Nama (penerima); nama dan alamat (penerima)
川,JLPT N5,かわ,セン,Aliran; Sungai,川 (kawa) - sungai; aliran,
千,JLPT N5,ち,セン,Ribu,千 (sen) - 1.000; ribu,千切る (chigiru) - merobek-robek hingga hancur; mencabik-cabik hingga berkeping-keping
水,JLPT N5,"みず, みず-",スイ,Air,"水 (mizu) - air (terutama air dingin dan segar, misalnya air minum)","水産 (suisan) - produk akuatik; perikanan  すいさん: ichi1, news1, nf08. nama: ichi1, berita1, nf08."
半,JLPT N5,なか.ば,ハン,Setengah; Tengah,半 (han) - setengah; semi-,半径 (hankei) - radius
男,JLPT N5,"おとこ, お","ダン, ナン",Pria,男 (otoko) - pria; laki-laki,長男 (chounan) - anak laki-laki tertua (mungkin satu-satunya anak laki-laki); anak laki-laki pertama
西,JLPT N5,にし,"セイ, サイ, ス",Barat; Spanyol,西 (nishi) - Barat,"関西 (kansai) - Kansai; wilayah yang terdiri dari Osaka, Kobe, Kyoto, dan prefektur-prefektur sekitarnya."
電,JLPT N5,,デン,Listrik,電池 (denchi) - baterai; sel,電柱 (denchuu) - tiang utilitas; tiang listrik
校,JLPT N5,,"コウ, キョウ",Ujian; Sekolah,校舎 (kousha) - gedung sekolah,校庭 (koutei) - halaman sekolah; kampus
語,JLPT N5,"かた.る, かた.らう",ゴ,Kata; Ucapan,語 (go) - bahasa,熟語 (jukugo) - gabungan kanji
土,JLPT N5,つち,"ド, ト",Tanah; Bumi,土 (tsuchi) - bumi; tanah,土曜 (doyou) - Sabtu
木,JLPT N5,"き, こ-","ボク, モク",Pohon; Kayu,木 (ki) - pohon; semak,木材 (mokuzai) - kayu gelondongan; kayu gelondongan
聞,JLPT N5,"き.く, き.こえる","ブン, モン",Dengar; Tanya,聞く (kiku) - untuk mendengar,新聞 (shinbun) - koran
食,JLPT N5,"く.う, く.らう, た.べる, は.む","ショク, ジキ",Makan; Makanan,食器 (shokki) - peralatan makan,食塩 (shokuen) - garam meja
車,JLPT N5,くるま,シャ,Mobil,車 (kuruma) - mobil; kendaraan bermotor,電車 (densha) - kereta api; kereta listrik
何,JLPT N5,"なに, なん, なに-, なん-",カ,Apa,何 (nani) - apa,何分 (nanibun) - beberapa; apa saja
南,JLPT N5,みなみ,"ナン, ナ",Selatan,南 (minami) - selatan,南米 (nanbei) - Amerika Selatan
万,JLPT N5,よろず,"マン, バン",Sepuluh ribu,万 (man) - 10.000; sepuluh ribu,"万歳 (banzai) - berteriak ""banzai"" (atau mengangkat tangan dengan gerakan banzai)"
毎,JLPT N5,"ごと, -ごと.に",マイ,Setiap,毎度 (maido) - setiap kali; selalu,毎朝 (maiasa) - setiap pagi
白,JLPT N5,"しろ, しら-, しろ.い","ハク, ビャク",Putih,白 (shiro) - putih,白髪 (shiraga) - rambut putih; rambut abu-abu
天,JLPT N5,"あまつ, あめ, あま-",テン,Surga; Langit,天皇 (tennou) - Kaisar Jepang,天候 (tenkou) - cuaca
母,JLPT N5,"はは, も",ボ,Ibu; Mama,父母 (fubo) - ayah dan ibu; orang tua,母親 (hahaoya) - ibu
火,JLPT N5,"ひ, -び, ほ-",カ,Api,火 (hi) - api; nyala api,噴火 (funka) - letusan
右,JLPT N5,みぎ,"ウ, ユウ",Benar,右 (migi) - kanan; sisi kanan,左右 (sayuu) - kiri dan kanan
読,JLPT N5,"よ.む, -よ.み","ドク, トク, トウ",Membaca,読書 (dokusho) - membaca,読み (yomi) - membaca
友,JLPT N5,とも,ユウ,Teman,友好 (yuukou) - persahabatan,"親友 (shinyuu) - teman dekat; sahabat karib (lama, akrab)"
左,JLPT N5,ひだり,"サ, シャ",Kiri,左 (hidari) - kiri; sisi kiri,左右 (sayuu) - kiri dan kanan
休,JLPT N5,"やす.む, やす.まる, やす.める",キュウ,Istirahat; Hari libur,休養 (kyuuyou) - istirahat; jeda,休憩 (kyuukei) - istirahat; jeda
父,JLPT N5,ちち,フ,Ayah,父母 (fubo) - ayah dan ibu; orang tua,"父親 (chichioya) - ayah  ちちおや: ichi1, news1, nf02. kata sandi: ichi1, berita1, nf02."
雨,JLPT N5,"あめ, あま-, -さめ",ウ,Hujan,雨 (ame) - hujan,雨戸 (amado) - penutup badai geser
会,JLPT N4,"あ.う, あ.わせる, あつ.まる","カイ, エ",Pertemuan; Bertemu,会 (kai) - pertemuan; majelis,宴会 (enkai) - pesta; perjamuan
同,JLPT N4,おな.じ,ドウ,Sama; Setuju,同格 (doukaku) - peringkat yang sama; kesetaraan,合同 (goudou) - kombinasi; persatuan
事,JLPT N4,"こと, つか.う, つか.える","ジ, ズ",Masalah; Hal,事 (koto) - benda; masalah,行事 (gyouji) - acara; fungsi
自,JLPT N4,"みずか.ら, おの.ずから, おの.ずと","ジ, シ",Diri,自治 (jichi) - pemerintahan sendiri; otonomi,自分 (jibun) - diri saya; dirimu
社,JLPT N4,やしろ,シャ,Perusahaan; Firma,社説 (shasetsu) - editorial; artikel utama,商社 (shousha) - perusahaan perdagangan; firma
発,JLPT N4,"た.つ, あば.く, おこ.る, つか.わす, はな.つ","ハツ, ホツ",Pembuangan; Keberangkatan,"発条 (bane) - pegas (misalnya pegas spiral, pegas daun); pegas utama",発表 (happyou) - pengumuman; publikasi
者,JLPT N4,もの,シャ,Seseorang; Orang,者 (mono) - orang,作者 (sakusha) - penulis; pengarang
地,JLPT N4,,"チ, ジ",Tanah; Bumi,地 (chi) - bumi; tanah,番地 (banchi) - nomor rumah; alamat
業,JLPT N4,わざ,"ギョウ, ゴウ",Bisnis; Vokasi,漁業 (gyogyou) - industri perikanan,休業 (kyuugyou) - tutup (misalnya toko); bisnis ditangguhkan
方,JLPT N4,"かた, -かた, -がた",ホウ,Arah; Orang,方 (kata) - arah; jalan,一方 (ippou) - satu (terutama dari dua); yang lain
新,JLPT N4,"あたら.しい, あら.た, あら-, にい-",シン,Baru,新た (arata) - baru; segar,新鮮 (shinsen) - segar
場,JLPT N4,ば,"ジョウ, チョウ",Lokasi; Tempat,場 (ba) - tempat; lokasi,牧場 (bokujou) - pertanian (peternakan); peternakan (AS)
員,JLPT N4,,イン,Karyawan; Anggota,工員 (kouin) - pekerja pabrik,満員 (manin) - Penuh sesak; tidak ada kursi kosong
立,JLPT N4,"た.つ, -た.つ, た.ち-, た.てる, -た.てる, た.て-, たて-, -た.て, -だ.て, -だ.てる","リツ, リュウ, リットル",Berdiri,国立 (kokuritsu) - nasional,立場 (tachiba) - sudut pandang; posisi
開,JLPT N4,"ひら.く, ひら.き, -びら.き, ひら.ける, あ.く, あ.ける",カイ,Buka; Bentangkan,開放 (kaihou) - membuka; membuka lebar,開会 (kaikai) - pembukaan rapat
手,JLPT N4,"て, て-, -て, た-","シュ, ズ",Tangan,手 (te) - tangan; lengan,派手 (hade) - mencolok; berisik
力,JLPT N4,ちから,"リョク, リキ, リイ",Kekuatan; Kuat,力 (chikara) - kekuatan; daya,魅力 (miryoku) - pesona; daya tarik
問,JLPT N4,"と.う, と.い, とん",モン,Pertanyaan; Bertanya,問答 (mondou) - pertanyaan dan jawaban; dialog,学問 (gakumon) - beasiswa; studi
代,JLPT N4,"か.わる, かわ.る, かわ.り, か.わり, -がわ.り, -が.わり, か.える, よ, しろ","ダイ, タイ",Pengganti; Perubahan,交代 (koutai) - pergantian; perubahan,代表 (daihyou) - perwakilan; representasi
明,JLPT N4,"あ.かり, あか.るい, あか.るむ, あか.らむ, あき.らか, あ.ける, -あ.け, あ.く, あ.くる, あ.かす","メイ, ミョウ, ミン",Terang; Cahaya,文明 (bunmei) - peradaban; peradaban,発明 (hatsumei) - penemuan
動,JLPT N4,"うご.く, うご.かす",ドウ,Bergerak; Gerak,動作 (dousa) - tindakan; gerakan,動く (ugoku) - bergerak; mengaduk
京,JLPT N4,みやこ,"キョウ, ケイ, キン",Modal; 10**16,上京 (joukyou) - melanjutkan perjalanan ke ibu kota (Tokyo),上京する (joukyousuru) - melanjutkan perjalanan ke ibu kota (Tokyo)
目,JLPT N4,"め, -め, ま-","モク, ボク",Mata; Kelas,目 (me) - mata; bola mata,項目 (koumoku) - (data) item; entri
通,JLPT N4,"とお.る, とお.り, -とお.り, -どお.り, とお.す, とお.し, -どお.し, かよ.う","ツウ, ツ",Lalu lintas; Jalan yang dilewati,直通 (chokutsuu) - jalur langsung; komunikasi langsung,交通 (koutsuu) - lalu lintas; transportasi
言,JLPT N4,"い.う, こと","ゲン, ゴン",Mengatakan,方言 (hougen) - dialek,言語 (gengo) - bahasa
理,JLPT N4,ことわり,リ,Logika; Pengaturan,原理 (genri) - prinsip; teori,理由 (riyuu) - alasan; dalih
体,JLPT N4,"からだ, かたち","タイ, テイ",Tubuh; Substansi,体 (karada) - tubuh,全体 (zentai) - keseluruhan; seluruh
田,JLPT N4,た,デン,Sawah; sawah,田 (ta) - sawah,田舎 (inaka) - daerah pedesaan; daerah terpencil
主,JLPT N4,"ぬし, おも, あるじ","シュ, ス, シュウ",Tuan; Kepala,主語 (shugo) - subjek,主役 (shuyaku) - peran utama; aktor utama
題,JLPT N4,,ダイ,Topik; Subjek,題 (dai) - judul; subjek,話題 (wadai) - topik; subjek
意,JLPT N4,,イ,Ide; Pikiran,敬意 (keii) - rasa hormat; kehormatan,用意 (youi) - persiapan; pengaturan
不,JLPT N4,,"フ, ブ",Negatif; Bukan-,不 (fu) - awalan negatif; bukan awalan negatif,不潔 (fuketsu) - najis; kotor
作,JLPT N4,"つく.る, つく.り, -づく.り","サク, サ",Membuat; Produksi,動作 (dousa) - tindakan; gerakan,操作 (sousa) - operasi; manajemen
用,JLPT N4,もち.いる,ヨウ,Memanfaatkan; Bisnis,用 (you) - tugas; bisnis,実用 (jitsuyou) - penggunaan praktis; kegunaan
度,JLPT N4,"たび, -た.い","ド, ト, タク",Derajat; Kejadian,"度 (tabi) - waktu (tiga kali, setiap kali, dll.); kali",限度 (gendo) - batas; batasan
強,JLPT N4,"つよ.い, つよ.まる, つよ.める, し.いる, こわ.い","キョウ, ゴウ",Kuat,強引 (gouin) - otoriter; memaksa,強化 (kyouka) - penguatan; pengintensifan
公,JLPT N4,おおやけ,"コウ, ク",Publik; Pangeran,公表 (kouhyou) - pengumuman resmi; proklamasi,公共 (koukyou) - publik; komunitas
持,JLPT N4,"も.つ, -も.ち, も.てる",ジ,Pegang; Miliki,持参 (jisan) - membawa; mengambil,維持 (iji) - pemeliharaan; pelestarian
野,JLPT N4,"の, の-","ヤ, ショ",Dataran; Ladang,野 (no) - dataran; lapangan,平野 (heiya) - dataran; lapangan terbuka
以,JLPT N4,もっ.て,イ,Dengan cara; Karena,以後 (igo) - setelah ini; mulai sekarang,以降 (ikou) - pada dan setelahnya; mulai dari
思,JLPT N4,"おも.う, おもえら.く, おぼ.す",シ,Memikirkan,意思 (ishi) - niat; tujuan,思想 (shisou) - pemikiran; gagasan
家,JLPT N4,"いえ, や, うち","カ, ケ",Rumah; Tempat tinggal,家 (ie) - rumah; tempat tinggal,家屋 (kaoku) - rumah; bangunan
世,JLPT N4,よ,"セイ, セ, ソウ",Generasi; Dunia,中世 (chuusei) - Abad Pertengahan (khususnya di Jepang periode Kamakura dan Muromachi); zaman pertengahan,世紀 (seiki) - abad; era
多,JLPT N4,"おお.い, まさ.に, まさ.る",タ,Banyak; Sering,多少 (tashou) - kurang lebih; ​​agak,多い (ooi) - banyak; banyak sekali
正,JLPT N4,"ただ.しい, ただ.す, まさ, まさ.に","セイ, ショウ",Benar; Keadilan,正 (sei) - (logis) benar; biasa,改正 (kaisei) - revisi; amandemen
安,JLPT N4,"やす.い, やす.まる, やす, やす.らか",アン,Santai; Murah,安易 (ani) - mudah; sederhana,目安 (meyasu) - kriteria; standar
院,JLPT N4,,イン,Institusi; Lembaga,寺院 (jiin) - kuil,入院 (nyuuin) - rawat inap; perawatan di rumah sakit
心,JLPT N4,"こころ, -ごころ",シン,Hati; Pikiran,心 (kokoro) - pikiran; hati,安心 (anshin) - kelegaan; ketenangan pikiran
界,JLPT N4,,カイ,Dunia,限界 (genkai) - batas; terikat,世界 (sekai) - dunia; masyarakat
教,JLPT N4,"おし.える, おそ.わる",キョウ,Mengajar; Iman,教養 (kyouyou) - Pembudidayaan; penyempurnaan,教授 (kyouju) - profesor
文,JLPT N4,"ふみ, あや","ブン, モン",Kalimat; Sastra,文 (bun) - kalimat,文明 (bunmei) - peradaban; peradaban
元,JLPT N4,もと,"ゲン, ガン",Awal; Masa lalu,元 (moto) - asal; sumber,元々 (motomoto) - pada awalnya; secara alami
重,JLPT N4,"え, おも.い, おも.り, おも.なう, かさ.ねる, かさ.なる, おも","ジュウ, チョウ",Berat; Menumpuk,厳重 (genjuu) - ketat; ketelitian,重力 (juuryoku) - gravitasi; gaya gravitasi
近,JLPT N4,ちか.い,"キン, コン",Dekat; Awal,近々 (chikajika) - segera; kedekatan,付近 (fukin) - lingkungan sekitar; kawasan sekitar
考,JLPT N4,"かんが.える, かんが.え",コウ,Pertimbangkan; Pikirkan baik-baik,考え (kangae) - pemikiran; gagasan,考慮 (kouryo) - pertimbangan; memperhitungkan
画,JLPT N4,"えが.く, かく.する, かぎ.る, はかりごと, はか.る","ガ, カク, エ, カイ",Goresan kuas; Gambar,画家 (gaka) - pelukis; seniman,絵画 (kaiga) - gambar; lukisan
海,JLPT N4,うみ,カイ,Laut; Samudra,海 (umi) - laut; samudra,海洋 (kaiyou) - Samudra
売,JLPT N4,"う.る, う.れる",バイ,Menjual,売買 (baibai) - perdagangan; jual beli,商売 (shoubai) - perdagangan; bisnis
知,JLPT N4,"し.る, し.らせる",チ,Ketahuilah; Kebijaksanaan,知人 (chijin) - teman; kenalan,通知 (tsuuchi) - pemberitahuan; notifikasi
道,JLPT N4,"みち, いう","ドウ, トウ",Jalan raya; Jalan,道 (michi) - jalan; gang,片道 (katamichi) - perjalanan satu arah
集,JLPT N4,"あつ.まる, あつ.める, つど.う",シュウ,Berkumpul; Bertemu,編集 (henshuu) - penyuntingan; kompilasi,集合 (shuugou) - perkumpulan; pertemuan
別,JLPT N4,"わか.れる, わ.ける",ベツ,Terpisah; Bercabang,別 (betsu) - perbedaan; keberbedaan,別荘 (bessou) - rumah liburan; vila
物,JLPT N4,"もの, もの-","ブツ, モツ",Benda; Objek,物 (mono) - benda; objek,物事 (monogoto) - segala sesuatu; semuanya
使,JLPT N4,"つか.う, つか.い, -つか.い, -づか.い",シ,Menggunakan,使用 (shiyou) - penggunaan; aplikasi,大使 (taishi) - duta besar
品,JLPT N4,しな,"ヒン, ホン",Barang; Kehalusan,品 (shina) - artikel; barang,部品 (buhin) - suku cadang; aksesori
計,JLPT N4,"はか.る, はか.らう",ケイ,Plot; Rencana,統計 (toukei) - statistik,余計 (yokei) - terlalu banyak; berlebihan
死,JLPT N4,"し.ぬ, し.に-",シ,Kematian; Mati,死体 (shitai) - mayat; jenazah,必死 (hisshi) - panik; putus asa
特,JLPT N4,,トク,Spesial,特売 (tokubai) - penjualan khusus,特長 (tokuchou) - kekuatan; keunggulan
私,JLPT N4,"わたくし, わたし",シ,Pribadi; Saya,私 (watashi) - Saya; diri saya,私立 (shiritsu) - (lembaga) swasta
始,JLPT N4,"はじ.める, -はじ.める, はじ.まる",シ,Mulai; Permulaan,原始 (genshi) - asal; purba,始終 (shijuu) - terus menerus; dari awal hingga akhir
朝,JLPT N4,あさ,チョウ,Pagi; Dinasti,朝 (asa) - Pagi,今朝 (kesa) - pagi ini
運,JLPT N4,はこ.ぶ,ウン,Membawa; Keberuntungan,運 (un) - keberuntungan; nasib baik,不運 (fuun) - kemalangan; nasib buruk
終,JLPT N4,"お.わる, -お.わる, おわ.る, お.える, つい, つい.に",シュウ,Akhir; Selesai,始終 (shijuu) - terus menerus; dari awal hingga akhir,終了 (shuuryou) - akhir; tutup
台,JLPT N4,"うてな, われ, つかさ","ダイ, タイ",Dudukan; Penyangga,台 (dai) - dudukan; rak,灯台 (toudai) - mercu suar
広,JLPT N4,"ひろ.い, ひろ.まる, ひろ.める, ひろ.がる, ひろ.げる",コウ,Luas; Lebar,広場 (hiroba) - plaza; alun-alun (publik),広さ (hirosa) - cakupan
住,JLPT N4,"す.む, す.まう, -ず.まい","ジュウ, ヂュウ, チュウ",Berdiam; Tinggal,住民 (juumin) - warga negara; penduduk,住宅 (juutaku) - tempat tinggal; perumahan
真,JLPT N4,"ま, ま-, まこと",シン,Benar; Kenyataan,真空 (shinkuu) - vakum; berongga,真似 (mane) - meniru; menyalin
有,JLPT N4,あ.る,"ユウ, ウ",Memiliki; Memiliki,有料 (yuuryou) - tol; biaya,有効 (yuukou) - sah; efektif
口,JLPT N4,くち,"コウ, ク",Mulut,口 (kuchi) - mulut,早口 (hayakuchi) - berbicara cepat; bicara cepat
少,JLPT N4,"すく.ない, すこ.し",ショウ,Sedikit; Kecil,少女 (shoujo) - gadis kecil; gadis perawan,少年 (shounen) - anak laki-laki; remaja
町,JLPT N4,まち,チョウ,Desa; Kota,町 (machi) - kota; blok,"下町 (shitamachi) - bagian kota yang dataran rendah (biasanya berisi toko, pabrik, dll.)"
料,JLPT N4,,リョウ,Biaya; Bahan,原料 (genryou) - bahan baku,有料 (yuuryou) - tol; biaya
工,JLPT N4,,"コウ, ク, グ",Kerajinan; Konstruksi,大工 (daiku) - tukang kayu,工芸 (kougei) - seni industri; kerajinan
建,JLPT N4,"た.てる, た.て, -だ.て, た.つ","ケン, コン",Membangun,建つ (tatsu) - untuk didirikan; untuk dibangun,建築 (kenchiku) - konstruksi; arsitektur (bangunan)
空,JLPT N4,"そら, あ.く, あ.き, あ.ける, から, す.く, す.かす, むな.しい",クウ,Kosong; Langit,空 (sora) - langit; udara,架空 (kakuu) - udara; di atas kepala
急,JLPT N4,"いそ.ぐ, いそ.ぎ, せ.く",キュウ,Terburu-buru; Darurat,急 (kyuu) - mendesak; tiba-tiba,至急 (shikyuu) - mendesak; penting
止,JLPT N4,"と.まる, -ど.まり, と.める, -と.める, -ど.め, とど.める, とど.め, とど.まる, や.める, や.む, -や.む, よ.す, -さ.す, -さ.し",シ,Berhenti; Berhenti,防止 (boushi) - pencegahan; periksa,停止 (teishi) - penangguhan; gangguan
送,JLPT N4,おく.る,ソウ,Pengawal; Kirim,送別 (soubetsu) - perpisahan; pengantaran,輸送 (yusou) - transportasi; pengangkutan
切,JLPT N4,"き.る, -き.る, き.り, -き.り, -ぎ.り, き.れる, -き.れる, き.れ, -き.れ, -ぎ.れ","セツ, サイ",Potong; Potong,大切 (taisetsu) - penting; perlu,踏切 (fumikiri) - perlintasan kereta api; penyeberangan rel kereta api
転,JLPT N4,"ころ.がる, ころ.げる, ころ.がす, ころ.ぶ, まろ.ぶ, うたた, うつ.る, くる.めく",テン,Berputar; Berbalik,移転 (iten) - pindah; relokasi,回転 (kaiten) - rotasi (biasanya mengelilingi sesuatu); revolusi
研,JLPT N4,と.ぐ,ケン,Bahasa Polandia; Studi tentang,研修 (kenshuu) - pelatihan (khususnya pelatihan dalam jabatan); kursus pengenalan,研究 (kenkyuu) - studi; penelitian
足,JLPT N4,"あし, た.りる, た.る, た.す",ソク,Kaki; Telapak kaki,足 (ashi) - kaki,足跡 (ashiato) - jejak kaki
究,JLPT N4,きわ.める,"キュウ, ク",Penelitian; Studi,研究 (kenkyuu) - studi; penelitian,研究室 (kenkyuushitsu) - laboratorium
楽,JLPT N4,"たの.しい, たの.しむ, この.む","ガク, ラク, ゴウ",Musik; Kenyamanan,楽 (raku) - kenyamanan; kemudahan,楽器 (gakki) - alat musik
起,JLPT N4,"お.きる, お.こる, お.こす, おこ.す, た.つ",キ,Bangkit; Bangun,起床 (kishou) - bangun; beranjak dari tempat tidur,起こる (okoru) - terjadi; berlangsung
着,JLPT N4,"き.る, -ぎ, き.せる, -き.せ, つ.く, つ.ける","チャク, ジャク",Kenakan; Tiba,着々 (chakuchaku) - terus-menerus,肌着 (hadagi) - pakaian dalam; pakaian dalam
